#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
0        0.000231348       8.87072e-06
1        0.00183544       0.000354566
2        0.000487672       1.69144e-05
3        0.000994832       4.23197e-05
4        0.000544891       5.7597e-06
5        0.000336822       1.97964e-05
6        0.000501867       9.56453e-06
7        0.00113279       8.62007e-05
8        0.000288695       7.46597e-06
9        0.0008876       3.87185e-05
10        0.000197471       1.00916e-05
11        0.00106474       7.51418e-05
12        0.000364352       5.14091e-06
13        0.00177008       5.60632e-05
14        0.000257787       7.17666e-06
15        0.00132493       0.000129036
16        0.00158331       0.000106055
17        0.000526548       5.00864e-05
18        0.000281637       5.49619e-06
19        0.00029615       6.48123e-06
20        0.0016294       9.37812e-05
21        0.00049       3.95211e-05
22        0.00129777       5.81214e-05
23        0.000639813       0.000103223
24        0.00129151       8.1875e-05
25        0.00142763       7.56562e-05
26        0.000436717       4.08455e-05
27        0.00081955       2.52656e-05
28        0.00076059       7.78565e-05
29        0.000886222       8.95374e-05
30        0.00084531       2.5035e-05
31        0.000411717       4.15321e-05
32        0.000159166       7.70707e-06
33        0.00225139       0.000237385
34        0.000786519       2.55369e-05
35        0.000773932       1.49686e-05
36        0.000835601       3.55972e-05
37        0.000562493       2.74839e-05
38        0.00135743       0.000131456
39        0.0011508       6.07245e-05
40        0.00100251       0.000103656
41        0.000446018       2.77696e-05
42        0.000624069       3.9686e-05
43        0.000376471       9.25538e-06
44        0.00105557       5.78369e-05
45        0.000516661       1.64749e-05
46        0.000121543       1.43183e-06
47        0.000121208       6.38006e-07
48        0.000202089       2.89715e-06
49        0.000164543       4.09821e-06
50        0.000856368       2.02953e-05
51        0.000182741       3.38323e-06
52        0.000739082       5.96928e-05
53        0.000143827       1.18513e-06
54        0.000620846       4.94427e-05
55        0.000770762       2.99142e-05
56        0.000359225       7.07033e-06
57        0.00043841       9.3851e-06
58        0.000219429       1.33171e-05
59        0.000121347       3.92622e-07
60        0.000702835       3.29152e-05
61        0.000780759       8.73557e-05
62        0.0011693       0.000182528
63        0.000824059       1.53301e-05
64        0.000225479       9.85835e-06
65        0.000264587       7.65455e-06
66        0.000778845       2.65144e-05
67        0.000407249       3.20402e-05
