Sample   Start  End 
0   June 17 07:06 PM  June 18 04:56 AM 
1   June 17 06:32 PM  June 17 10:51 PM 
2   June 17 12:46 PM  June 17 05:09 PM 
3   June 16 10:22 PM  June 17 02:46 AM 
4   June 16 08:28 AM  June 16 12:51 PM 
5   June 16 12:15 AM  June 16 04:37 AM 
6   June 15 06:51 AM  June 15 11:14 AM 
7   June 14 11:14 PM  June 15 03:33 AM 
8   June 14 02:37 PM  June 14 06:52 PM 
9   June 14 02:36 PM  June 14 07:01 PM 
10   June 17 06:27 PM  June 17 11:18 PM 
11   June 17 05:26 PM  June 17 09:49 PM 
12   June 17 05:09 PM  June 17 09:31 PM 
13   June 17 04:53 PM  June 17 09:11 PM 
14   June 17 04:27 PM  June 17 08:46 PM 
15   June 17 04:00 PM  June 17 08:22 PM 
16   June 17 03:14 PM  June 17 07:37 PM 
17   June 17 02:44 PM  June 17 07:05 PM 
18   June 17 02:10 PM  June 17 06:32 PM 
19   June 17 01:37 PM  June 17 06:02 PM 
20   June 17 12:45 PM  June 17 05:09 PM 
21   June 17 11:54 AM  June 17 06:26 PM 
22   June 17 09:36 AM  June 17 04:10 PM 
23   June 17 08:22 AM  June 17 02:52 PM 
24   June 17 08:13 AM  June 17 02:42 PM 
25   June 17 08:01 AM  June 17 02:32 PM 
26   June 17 07:08 AM  June 17 01:37 PM 
27   June 17 03:03 AM  June 17 09:36 AM 
28   June 16 11:31 PM  June 17 06:03 AM 
29   June 16 10:47 PM  June 17 05:19 AM 
30   June 16 10:20 PM  June 17 04:51 AM 
31   June 16 09:39 PM  June 17 04:11 AM 
32   June 16 09:31 PM  June 17 03:59 AM 
33   June 16 12:57 PM  June 16 07:30 PM 
34   June 16 10:52 AM  June 16 05:30 PM 
35   June 16 10:43 AM  June 16 05:14 PM 
36   June 16 09:46 AM  June 16 04:20 PM 
37   June 16 09:02 AM  June 16 03:36 PM 
38   June 16 08:47 AM  June 16 03:17 PM 
39   June 16 08:39 AM  June 16 03:11 PM 
40   June 16 08:03 AM  June 16 02:37 PM 
41   June 16 07:29 AM  June 16 01:57 PM 
42   June 16 06:25 AM  June 16 12:57 PM 
43   June 16 05:50 AM  June 16 12:20 PM 
44   June 16 05:33 AM  June 16 12:04 PM 
45   June 16 05:19 AM  June 16 11:50 AM 
46   June 16 04:23 AM  June 16 10:52 AM 
47   June 16 01:57 AM  June 16 08:27 AM 
48   June 16 01:21 AM  June 16 07:51 AM 
