Sample   Start  End 
0   May 17 05:03 PM  May 18 12:02 AM 
1   May 17 05:00 PM  May 17 11:59 PM 
2   May 17 09:08 AM  May 17 04:59 PM 
3   May 16 09:58 PM  May 17 05:57 AM 
4   May 16 07:18 PM  May 17 03:13 AM 
5   May 16 04:45 PM  May 17 12:34 AM 
6   May 16 04:45 PM  May 17 01:00 AM 
7   May 16 04:44 PM  May 17 12:34 AM 
8   May 16 04:44 PM  May 17 12:36 AM 
9   May 16 04:43 PM  May 17 12:38 AM 
10   May 17 05:00 PM  May 17 11:53 PM 
11   May 17 04:25 PM  May 18 12:04 AM 
12   May 17 04:18 PM  May 17 11:21 PM 
13   May 17 04:05 PM  May 17 11:13 PM 
14   May 17 03:17 PM  May 17 10:35 PM 
15   May 17 01:59 PM  May 17 09:26 PM 
16   May 17 01:25 PM  May 17 08:58 PM 
17   May 17 12:12 PM  May 17 07:57 PM 
18   May 17 11:16 AM  May 17 06:59 PM 
19   May 17 11:09 AM  May 17 06:58 PM 
20   May 17 09:03 AM  May 17 07:40 PM 
21   May 17 07:30 AM  May 17 06:02 PM 
22   May 17 04:35 AM  May 17 03:12 PM 
23   May 17 03:26 AM  May 17 02:01 PM 
24   May 17 03:24 AM  May 17 01:59 PM 
25   May 17 03:09 AM  May 17 01:47 PM 
26   May 17 01:51 AM  May 17 12:27 PM 
27   May 17 01:49 AM  May 17 12:06 PM 
28   May 17 01:45 AM  May 17 12:27 PM 
29   May 17 12:35 AM  May 17 11:10 AM 
30   May 16 09:58 PM  May 17 08:31 AM 
31   May 16 09:54 PM  May 17 08:15 AM 
32   May 16 08:43 PM  May 17 07:29 AM 
33   May 16 08:37 PM  May 17 07:05 AM 
34   May 16 07:21 PM  May 17 05:55 AM 
35   May 16 07:21 PM  May 17 05:58 AM 
36   May 16 07:20 PM  May 17 05:53 AM 
37   May 16 07:20 PM  May 17 05:55 AM 
38   May 16 07:19 PM  May 17 05:53 AM 
39   May 16 07:19 PM  May 17 05:48 AM 
40   May 16 07:18 PM  May 16 09:51 PM 
41   May 16 07:18 PM  May 16 09:52 PM 
42   May 16 07:18 PM  May 16 09:53 PM 
43   May 16 07:18 PM  May 16 09:51 PM 
44   May 16 07:15 PM  May 16 09:51 PM 
45   May 16 04:45 PM  May 16 07:20 PM 
46   May 16 04:45 PM  May 16 07:18 PM 
47   May 16 04:45 PM  May 16 07:21 PM 
48   May 16 04:45 PM  May 16 07:21 PM 
49   May 16 04:45 PM  May 16 07:18 PM 
50   May 16 04:45 PM  May 16 07:20 PM 
51   May 16 04:45 PM  May 16 07:17 PM 
52   May 16 04:45 PM  May 16 07:18 PM 
53   May 16 04:45 PM  May 16 07:20 PM 
54   May 16 04:45 PM  May 16 07:21 PM 
55   May 16 04:45 PM  May 16 07:18 PM 
56   May 16 04:45 PM  May 16 07:14 PM 
57   May 16 04:45 PM  May 16 07:21 PM 
58   May 16 04:45 PM  May 16 07:19 PM 
59   May 16 04:45 PM  May 16 07:18 PM 
60   May 16 04:45 PM  May 16 08:36 PM 
61   May 16 04:44 PM  May 16 08:40 PM 
62   May 16 04:44 PM  May 16 08:38 PM 
63   May 16 04:44 PM  May 16 08:37 PM 
64   May 16 04:44 PM  May 16 08:38 PM 
65   May 16 04:44 PM  May 16 08:37 PM 
66   May 16 04:44 PM  May 16 08:42 PM 
67   May 16 04:44 PM  May 16 08:37 PM 
68   May 16 04:44 PM  May 16 08:33 PM 
69   May 16 04:44 PM  May 16 08:35 PM 
70   May 16 04:44 PM  May 16 08:33 PM 
71   May 16 04:44 PM  May 16 08:37 PM 
72   May 16 04:44 PM  May 16 08:38 PM 
73   May 16 04:44 PM  May 16 08:34 PM 
74   May 16 04:44 PM  May 16 08:37 PM 
75   May 16 04:44 PM  May 16 08:37 PM 
76   May 16 04:44 PM  May 16 08:37 PM 
77   May 16 04:44 PM  May 16 08:41 PM 
78   May 16 04:44 PM  May 16 08:37 PM 
79   May 16 04:44 PM  May 16 08:36 PM 
80   May 16 04:44 PM  May 16 09:54 PM 
81   May 16 04:44 PM  May 16 09:56 PM 
82   May 16 04:44 PM  May 16 09:58 PM 
83   May 16 04:44 PM  May 16 09:57 PM 
84   May 16 04:44 PM  May 16 09:56 PM 
85   May 16 04:44 PM  May 16 09:52 PM 
86   May 16 04:44 PM  May 16 09:59 PM 
87   May 16 04:44 PM  May 16 09:58 PM 
88   May 16 04:44 PM  May 16 09:55 PM 
