Sample   Start  End 
0   January 20 01:16 PM  January 20 02:31 PM 
1   January 13 03:45 PM  January 13 05:02 PM 
2   January 13 03:45 PM  January 13 05:03 PM 
3   January 13 03:45 PM  January 13 05:00 PM 
4   January 13 03:45 PM  January 13 04:58 PM 
5   January 13 03:45 PM  January 13 04:57 PM 
6   January 13 03:45 PM  January 13 05:05 PM 
7   January 13 03:45 PM  January 13 04:58 PM 
8   January 13 03:45 PM  January 13 05:03 PM 
9   January 13 03:45 PM  January 13 05:02 PM 
10   January 13 03:45 PM  January 13 05:02 PM 
11   January 13 03:45 PM  January 13 04:59 PM 
12   January 13 03:45 PM  January 13 05:04 PM 
13   January 13 03:45 PM  January 13 04:52 PM 
14   January 13 03:45 PM  January 13 05:09 PM 
15   January 13 03:45 PM  January 13 05:05 PM 
16   January 13 03:45 PM  January 13 05:04 PM 
17   January 13 03:45 PM  January 13 05:07 PM 
18   January 13 03:45 PM  January 13 05:04 PM 
19   January 13 03:45 PM  January 13 05:04 PM 
20   January 13 03:45 PM  January 13 05:00 PM 
21   January 13 03:45 PM  January 13 05:04 PM 
22   January 13 03:45 PM  January 13 05:02 PM 
23   January 13 03:45 PM  January 13 05:00 PM 
24   January 13 03:45 PM  January 13 05:06 PM 
25   January 13 03:45 PM  January 13 05:05 PM 
26   January 13 03:45 PM  January 13 05:04 PM 
27   January 13 03:45 PM  January 13 05:04 PM 
28   January 13 03:45 PM  January 13 05:03 PM 
29   January 13 03:45 PM  January 13 05:02 PM 
30   January 13 03:45 PM  January 13 05:04 PM 
31   January 13 03:45 PM  January 13 04:56 PM 
32   January 13 03:45 PM  January 13 05:10 PM 
33   January 13 03:45 PM  January 13 05:02 PM 
34   January 13 03:45 PM  January 13 05:01 PM 
35   January 13 03:45 PM  January 13 05:02 PM 
36   January 13 03:45 PM  January 13 05:06 PM 
37   January 13 03:45 PM  January 13 05:01 PM 
38   January 13 03:45 PM  January 13 04:59 PM 
39   January 13 03:45 PM  January 13 05:05 PM 
40   January 13 03:45 PM  January 13 05:08 PM 
41   January 13 03:45 PM  January 13 05:03 PM 
42   January 13 03:45 PM  January 13 04:58 PM 
43   January 13 03:45 PM  January 13 05:02 PM 
44   January 13 03:45 PM  January 13 05:04 PM 
45   January 19 11:46 AM  January 19 01:25 PM 
46   January 19 11:37 AM  January 19 01:16 PM 
47   January 19 11:23 AM  January 19 01:01 PM 
48   January 19 09:01 AM  January 19 10:40 AM 
49   January 19 08:55 AM  January 19 11:36 AM 
50   January 19 08:49 AM  January 19 11:29 AM 
51   January 19 06:21 AM  January 19 09:01 AM 
52   January 19 06:14 AM  January 19 08:50 AM 
53   January 19 06:02 AM  January 19 08:43 AM 
54   January 19 03:38 AM  January 19 06:14 AM 
55   January 19 03:33 AM  January 19 06:14 AM 
56   January 19 03:27 AM  January 19 06:04 AM 
57   January 19 12:55 AM  January 19 03:35 AM 
58   January 19 12:50 AM  January 19 03:31 AM 
59   January 19 12:41 AM  January 19 03:17 AM 
60   January 18 10:13 PM  January 19 12:54 AM 
61   January 18 10:10 PM  January 19 12:50 AM 
62   January 18 10:04 PM  January 19 12:47 AM 
63   January 18 07:30 PM  January 18 10:11 PM 
64   January 18 07:26 PM  January 18 10:07 PM 
65   January 18 07:20 PM  January 18 10:01 PM 
66   January 18 04:48 PM  January 18 07:30 PM 
67   January 18 04:47 PM  January 18 07:28 PM 
68   January 18 04:43 PM  January 18 07:21 PM 
69   January 18 02:03 PM  January 18 04:43 PM 
70   January 18 02:01 PM  January 18 04:42 PM 
71   January 18 01:57 PM  January 18 04:38 PM 
72   January 18 11:22 AM  January 18 02:03 PM 
73   January 18 11:22 AM  January 18 02:03 PM 
74   January 18 11:22 AM  January 18 01:58 PM 
75   January 18 11:21 AM  January 18 02:02 PM 
76   January 18 11:21 AM  January 18 01:57 PM 
77   January 18 11:21 AM  January 18 02:02 PM 
78   January 18 11:21 AM  January 18 02:02 PM 
79   January 18 11:21 AM  January 18 01:59 PM 
80   January 18 11:21 AM  January 18 02:01 PM 
81   January 18 11:21 AM  January 18 01:59 PM 
82   January 18 11:21 AM  January 18 02:01 PM 
83   January 18 11:21 AM  January 18 02:02 PM 
84   January 18 11:21 AM  January 18 01:54 PM 
85   January 18 11:21 AM  January 18 02:01 PM 
86   January 18 11:21 AM  January 18 01:59 PM 
87   January 18 11:21 AM  January 18 02:02 PM 
88   January 18 11:21 AM  January 18 01:57 PM 
89   January 18 11:21 AM  January 18 02:01 PM 
90   January 18 11:21 AM  January 18 01:57 PM 
91   January 18 11:21 AM  January 18 02:00 PM 
92   January 18 11:21 AM  January 18 01:56 PM 
93   January 18 11:21 AM  January 18 01:58 PM 
94   January 18 11:21 AM  January 18 02:00 PM 
95   January 18 11:21 AM  January 18 02:01 PM 
96   January 18 11:21 AM  January 18 02:01 PM 
97   January 18 11:20 AM  January 18 02:01 PM 
98   January 18 11:20 AM  January 18 02:01 PM 
99   January 18 11:20 AM  January 18 01:55 PM 
100   January 20 01:16 PM  January 20 03:13 PM 
101   January 20 01:16 PM  January 20 03:12 PM 
102   January 20 01:15 PM  January 20 03:12 PM 
103   January 20 01:15 PM  January 20 03:10 PM 
104   January 20 01:15 PM  January 20 03:11 PM 
105   January 20 01:15 PM  January 20 03:12 PM 
106   January 20 01:14 PM  January 20 03:07 PM 
107   January 20 01:13 PM  January 20 03:11 PM 
108   January 20 01:13 PM  January 20 03:07 PM 
109   January 20 01:13 PM  January 20 03:09 PM 
110   January 20 01:13 PM  January 20 03:11 PM 
111   January 20 01:13 PM  January 20 03:09 PM 
112   January 20 01:12 PM  January 20 03:12 PM 
113   January 20 01:11 PM  January 20 03:10 PM 
114   January 20 01:11 PM  January 20 03:09 PM 
115   January 20 01:09 PM  January 20 03:05 PM 
116   January 20 01:09 PM  January 20 03:04 PM 
117   January 20 01:09 PM  January 20 03:06 PM 
118   January 20 01:09 PM  January 20 03:10 PM 
119   January 20 01:09 PM  January 20 03:06 PM 
120   January 20 01:07 PM  January 20 03:06 PM 
121   January 20 01:07 PM  January 20 03:07 PM 
122   January 20 01:06 PM  January 20 03:05 PM 
123   January 20 01:06 PM  January 20 03:07 PM 
124   January 20 01:06 PM  January 20 03:04 PM 
125   January 20 01:04 PM  January 20 03:07 PM 
126   January 20 01:01 PM  January 20 03:09 PM 
127   January 20 01:01 PM  January 20 03:04 PM 
128   January 20 01:00 PM  January 20 03:01 PM 
129   January 20 12:59 PM  January 20 03:06 PM 
130   January 20 12:46 PM  January 20 02:52 PM 
131   January 20 12:25 PM  January 20 02:35 PM 
132   January 20 12:18 PM  January 20 02:36 PM 
133   January 20 12:07 PM  January 20 02:23 PM 
134   January 20 11:56 AM  January 20 02:27 PM 
135   January 20 10:51 AM  January 20 01:29 PM 
136   January 20 10:41 AM  January 20 01:20 PM 
