Sample   Start  End 
0   March 01 06:13 AM  March 01 09:15 AM 
1   March 01 06:13 AM  March 01 09:12 AM 
2   February 28 06:03 PM  February 28 09:59 PM 
3   February 28 06:23 AM  February 28 10:18 AM 
4   February 27 10:20 AM  February 27 02:13 PM 
5   February 27 03:02 AM  February 27 06:54 AM 
6   February 26 04:07 PM  February 26 08:03 PM 
7   February 26 03:13 AM  February 26 07:06 AM 
8   February 25 10:11 AM  February 25 02:03 PM 
9   February 24 11:40 PM  February 25 03:30 AM 
10   March 01 06:09 AM  March 01 09:06 AM 
11   March 01 05:39 AM  March 01 08:55 AM 
12   March 01 05:00 AM  March 01 08:29 AM 
13   March 01 02:24 AM  March 01 06:15 AM 
14   March 01 12:58 AM  March 01 04:51 AM 
15   February 28 11:48 PM  March 01 03:33 AM 
16   February 28 11:30 PM  March 01 03:22 AM 
17   February 28 10:50 PM  March 01 02:41 AM 
18   February 28 10:25 PM  March 01 02:13 AM 
19   February 28 07:29 PM  February 28 11:28 PM 
20   February 28 05:54 PM  February 28 09:53 PM 
21   February 28 03:54 PM  February 28 07:48 PM 
22   February 28 03:38 PM  February 28 07:36 PM 
23   February 28 03:24 PM  February 28 07:19 PM 
24   February 28 02:32 PM  February 28 06:25 PM 
25   February 28 10:21 AM  February 28 02:17 PM 
26   February 28 08:00 AM  February 28 11:54 AM 
27   February 28 07:38 AM  February 28 11:33 AM 
28   February 28 07:16 AM  February 28 11:15 AM 
29   February 28 06:38 AM  February 28 10:33 AM 
30   February 28 06:22 AM  February 28 10:17 AM 
31   February 28 12:24 AM  February 28 04:18 AM 
32   February 27 10:31 PM  February 28 02:26 AM 
33   February 27 09:13 PM  February 28 01:11 AM 
34   February 27 08:59 PM  February 28 12:55 AM 
35   February 27 08:48 PM  February 28 12:39 AM 
36   February 27 08:02 PM  February 27 11:57 PM 
37   February 27 11:54 AM  February 27 03:50 PM 
38   February 27 11:39 AM  February 27 03:30 PM 
39   February 27 10:27 AM  February 27 02:18 PM 
40   February 27 10:18 AM  February 27 02:12 PM 
41   February 27 09:52 AM  February 27 01:41 PM 
42   February 27 09:23 AM  February 27 01:18 PM 
43   February 27 09:13 AM  February 27 01:07 PM 
44   February 27 07:46 AM  February 27 11:39 AM 
45   February 27 07:04 AM  February 27 10:55 AM 
46   February 27 06:47 AM  February 27 10:38 AM 
47   February 27 06:40 AM  February 27 11:06 AM 
48   February 27 06:31 AM  February 27 10:18 AM 
49   February 27 04:02 AM  February 27 07:49 AM 
50   February 27 02:57 AM  February 27 06:46 AM 
51   February 27 02:49 AM  February 27 06:40 AM 
52   February 27 02:40 AM  February 27 06:30 AM 
53   February 27 02:27 AM  February 27 06:17 AM 
54   February 27 12:11 AM  February 27 04:02 AM 
55   February 26 09:36 PM  February 27 01:25 AM 
56   February 26 09:28 PM  February 27 01:17 AM 
57   February 26 08:47 PM  February 27 12:40 AM 
58   February 26 08:27 PM  February 27 12:21 AM 
59   February 26 08:15 PM  February 27 12:06 AM 
60   February 26 03:59 PM  February 26 07:53 PM 
61   February 26 02:55 PM  February 26 06:48 PM 
62   February 26 02:26 PM  February 26 06:22 PM 
63   February 26 12:40 PM  February 26 04:35 PM 
64   February 26 12:28 PM  February 26 04:26 PM 
65   February 26 12:19 PM  February 26 04:07 PM 
66   February 26 07:03 AM  February 26 10:58 AM 
67   February 26 06:01 AM  February 26 09:51 AM 
68   February 26 04:29 AM  February 26 08:14 AM 
69   February 26 03:21 AM  February 26 07:14 AM 
70   February 26 03:13 AM  February 26 07:08 AM 
71   February 26 03:00 AM  February 26 06:49 AM 
72   February 25 08:37 PM  February 26 12:31 AM 
73   February 25 07:06 PM  February 25 10:56 PM 
74   February 25 05:09 PM  February 25 08:56 PM 
75   February 25 04:42 PM  February 25 08:37 PM 
76   February 25 04:37 PM  February 25 08:31 PM 
77   February 25 04:30 PM  February 25 08:21 PM 
78   February 25 03:15 PM  February 25 07:06 PM 
79   February 25 12:38 PM  February 25 04:33 PM 
80   February 25 10:08 AM  February 25 03:22 PM 
81   February 25 10:03 AM  February 25 03:15 PM 
82   February 25 08:50 AM  February 25 01:59 PM 
83   February 25 08:46 AM  February 25 01:55 PM 
84   February 25 04:50 AM  February 25 10:00 AM 
85   February 25 03:30 AM  February 25 08:37 AM 
86   February 24 11:41 PM  February 25 04:50 AM 
87   February 24 11:41 PM  February 25 04:50 AM 
88   February 24 11:41 PM  February 25 04:49 AM 
89   February 24 11:40 PM  February 25 04:50 AM 
90   February 24 11:40 PM  February 25 04:49 AM 
91   February 24 11:40 PM  February 25 04:49 AM 
92   February 24 11:40 PM  February 25 04:40 AM 
93   February 24 11:40 PM  February 25 04:47 AM 
94   February 24 11:40 PM  February 25 04:47 AM 
95   February 24 11:40 PM  February 25 04:47 AM 
96   February 24 11:40 PM  February 25 04:49 AM 
97   February 24 11:40 PM  February 25 04:53 AM 
98   February 24 11:40 PM  February 25 04:48 AM 
99   February 24 11:40 PM  February 25 04:42 AM 
100   March 01 06:08 AM  March 01 09:50 AM 
101   March 01 06:08 AM  March 01 09:59 AM 
102   March 01 06:07 AM  March 01 10:04 AM 
103   March 01 06:05 AM  March 01 09:52 AM 
104   March 01 06:03 AM  March 01 09:58 AM 
105   March 01 05:59 AM  March 01 09:50 AM 
106   March 01 05:58 AM  March 01 09:54 AM 
107   March 01 05:54 AM  March 01 09:55 AM 
108   March 01 05:52 AM  March 01 09:47 AM 
109   March 01 05:49 AM  March 01 09:46 AM 
110   March 01 05:27 AM  March 01 09:34 AM 
111   March 01 05:27 AM  March 01 09:41 AM 
112   March 01 05:14 AM  March 01 09:29 AM 
113   March 01 05:13 AM  March 01 09:35 AM 
114   March 01 05:13 AM  March 01 09:23 AM 
115   March 01 05:12 AM  March 01 09:20 AM 
116   March 01 05:10 AM  March 01 09:17 AM 
117   March 01 05:05 AM  March 01 09:20 AM 
118   March 01 05:03 AM  March 01 09:19 AM 
119   March 01 05:01 AM  March 01 09:20 AM 
120   March 01 04:59 AM  March 01 09:10 AM 
121   March 01 04:57 AM  March 01 09:11 AM 
122   March 01 04:51 AM  March 01 09:13 AM 
123   March 01 04:44 AM  March 01 09:13 AM 
124   March 01 04:27 AM  March 01 08:56 AM 
125   March 01 04:27 AM  March 01 08:55 AM 
126   March 01 04:15 AM  March 01 08:38 AM 
127   March 01 03:34 AM  March 01 08:19 AM 
128   March 01 03:22 AM  March 01 07:52 AM 
129   March 01 02:41 AM  March 01 07:35 AM 
130   March 01 02:20 AM  March 01 08:24 AM 
131   March 01 02:19 AM  March 01 08:15 AM 
132   March 01 02:13 AM  March 01 08:16 AM 
133   March 01 02:12 AM  March 01 08:25 AM 
134   March 01 02:10 AM  March 01 08:15 AM 
135   March 01 01:59 AM  March 01 08:08 AM 
136   March 01 01:53 AM  March 01 08:13 AM 
137   March 01 01:49 AM  March 01 08:09 AM 
138   March 01 01:02 AM  March 01 07:30 AM 
139   March 01 01:00 AM  March 01 07:28 AM 
140   March 01 12:55 AM  March 01 07:18 AM 
141   March 01 12:49 AM  March 01 07:13 AM 
142   March 01 12:43 AM  March 01 07:11 AM 
143   March 01 12:40 AM  March 01 07:06 AM 
144   March 01 12:01 AM  March 01 06:39 AM 
145   February 28 11:54 PM  March 01 06:29 AM 
