Sample   Start  End 
0   March 14 09:14 AM  March 14 06:43 PM 
1   March 14 09:14 AM  March 14 06:42 PM 
2   March 13 03:07 AM  March 13 04:34 PM 
3   March 12 02:34 AM  March 12 04:08 PM 
4   March 10 07:50 PM  March 11 09:18 AM 
5   March 09 07:38 PM  March 10 09:14 AM 
6   March 09 07:37 PM  March 10 09:03 AM 
7   March 09 07:37 PM  March 10 09:12 AM 
8   March 09 07:37 PM  March 10 09:00 AM 
9   March 09 07:36 PM  March 10 08:58 AM 
10   March 14 09:13 AM  March 14 06:47 PM 
11   March 14 07:48 AM  March 14 05:48 PM 
12   March 14 12:33 AM  March 14 01:33 PM 
13   March 13 11:29 PM  March 14 12:41 PM 
14   March 13 08:51 PM  March 14 10:30 AM 
15   March 13 07:29 PM  March 14 09:10 AM 
16   March 13 07:04 PM  March 14 08:28 AM 
17   March 13 02:00 PM  March 14 03:38 AM 
18   March 13 08:40 AM  March 13 10:20 PM 
19   March 13 08:13 AM  March 13 09:48 PM 
20   March 13 03:06 AM  March 13 04:25 PM 
21   March 13 02:56 AM  March 13 04:32 PM 
22   March 13 12:23 AM  March 13 02:00 PM 
23   March 12 04:23 PM  March 13 05:54 AM 
24   March 12 03:57 PM  March 13 05:36 AM 
25   March 12 03:01 PM  March 13 04:30 AM 
26   March 12 02:50 PM  March 13 04:25 AM 
27   March 12 02:37 PM  March 13 04:04 AM 
28   March 12 05:33 AM  March 12 06:59 PM 
29   March 12 02:44 AM  March 12 04:14 PM 
30   March 12 02:33 AM  March 12 04:07 PM 
31   March 12 02:22 AM  March 12 04:16 PM 
32   March 12 01:22 AM  March 12 02:52 PM 
33   March 11 10:33 PM  March 12 12:04 PM 
34   March 11 02:29 PM  March 12 04:00 AM 
35   March 11 11:54 AM  March 12 01:29 AM 
36   March 11 11:48 AM  March 12 01:26 AM 
37   March 11 11:42 AM  March 12 01:16 AM 
38   March 11 10:36 AM  March 12 12:06 AM 
39   March 11 01:14 AM  March 11 02:57 PM 
40   March 10 07:50 PM  March 11 07:54 AM 
41   March 10 07:44 PM  March 11 07:55 AM 
42   March 10 07:40 PM  March 11 07:48 AM 
43   March 10 07:34 PM  March 11 07:53 AM 
44   March 10 07:17 PM  March 11 07:27 AM 
45   March 10 07:45 AM  March 10 07:51 PM 
46   March 10 07:42 AM  March 10 07:47 PM 
47   March 10 07:38 AM  March 10 07:51 PM 
48   March 10 07:35 AM  March 10 07:42 PM 
49   March 10 07:31 AM  March 10 07:37 PM 
50   March 09 07:38 PM  March 10 07:51 AM 
51   March 09 07:38 PM  March 10 07:46 AM 
52   March 09 07:38 PM  March 10 07:48 AM 
53   March 09 07:38 PM  March 10 07:45 AM 
54   March 09 07:38 PM  March 10 07:33 AM 
55   March 09 07:37 PM  March 10 07:37 AM 
56   March 09 07:37 PM  March 10 07:42 AM 
57   March 09 07:37 PM  March 10 07:33 AM 
58   March 09 07:37 PM  March 10 07:45 AM 
59   March 09 07:37 PM  March 10 07:38 AM 
60   March 09 07:37 PM  March 10 07:31 AM 
61   March 09 07:37 PM  March 10 07:41 AM 
62   March 09 07:37 PM  March 10 07:42 AM 
63   March 09 07:37 PM  March 10 07:38 AM 
64   March 09 07:37 PM  March 10 07:43 AM 
65   March 09 07:37 PM  March 10 07:30 AM 
66   March 09 07:37 PM  March 10 07:44 AM 
67   March 09 07:37 PM  March 10 07:41 AM 
68   March 09 07:37 PM  March 10 07:43 AM 
69   March 09 07:37 PM  March 10 07:36 AM 
70   March 09 07:37 PM  March 10 07:33 AM 
71   March 09 07:37 PM  March 10 07:44 AM 
72   March 09 07:37 PM  March 10 07:35 AM 
73   March 09 07:37 PM  March 10 07:43 AM 
74   March 09 07:37 PM  March 10 07:35 AM 
75   March 09 07:37 PM  March 10 07:36 AM 
76   March 09 07:37 PM  March 10 07:44 AM 
77   March 09 07:37 PM  March 10 07:40 AM 
78   March 09 07:37 PM  March 10 07:33 AM 
79   March 09 07:37 PM  March 10 07:38 AM 
80   March 09 07:37 PM  March 10 07:42 AM 
81   March 09 07:37 PM  March 10 07:48 AM 
82   March 09 07:36 PM  March 10 07:39 AM 
83   March 09 07:36 PM  March 10 07:39 AM 
84   March 09 07:36 PM  March 10 07:38 AM 
85   March 09 07:36 PM  March 10 07:42 AM 
86   March 09 07:36 PM  March 10 07:32 AM 
87   March 09 07:36 PM  March 10 07:34 AM 
88   March 09 07:36 PM  March 10 07:28 AM 
89   March 09 07:36 PM  March 10 07:39 AM 
90   March 09 07:36 PM  March 10 07:31 AM 
91   March 09 07:36 PM  March 10 07:34 AM 
92   March 09 07:36 PM  March 10 07:28 AM 
93   March 09 07:36 PM  March 10 07:40 AM 
94   March 09 07:36 PM  March 10 07:30 AM 
95   March 09 07:36 PM  March 10 07:37 AM 
96   March 09 07:36 PM  March 10 07:35 AM 
97   March 09 07:36 PM  March 10 07:33 AM 
98   March 09 07:36 PM  March 10 07:41 AM 
99   March 09 07:36 PM  March 10 07:40 AM 
100   March 14 09:13 AM  March 14 06:29 PM 
101   March 14 09:11 AM  March 14 08:49 PM 
102   March 14 09:10 AM  March 14 06:48 PM 
103   March 14 09:10 AM  March 14 06:47 PM 
104   March 14 09:09 AM  March 14 06:45 PM 
105   March 14 09:08 AM  March 14 06:42 PM 
106   March 14 09:02 AM  March 14 06:41 PM 
107   March 14 09:00 AM  March 14 06:34 PM 
108   March 14 08:29 AM  March 14 06:19 PM 
109   March 14 07:49 AM  March 14 05:49 PM 
110   March 14 07:43 AM  March 14 05:47 PM 
111   March 14 07:36 AM  March 14 05:42 PM 
112   March 14 07:31 AM  March 14 05:38 PM 
113   March 14 07:31 AM  March 14 05:44 PM 
114   March 14 07:28 AM  March 14 05:36 PM 
115   March 14 03:38 AM  March 14 03:21 PM 
116   March 14 02:34 AM  March 14 02:38 PM 
117   March 14 01:42 AM  March 14 01:53 PM 
118   March 14 01:01 AM  March 14 01:37 PM 
119   March 14 01:01 AM  March 14 01:37 PM 
120   March 14 12:11 AM  March 14 01:13 PM 
121   March 13 11:54 PM  March 14 12:49 PM 
122   March 13 11:53 PM  March 14 12:57 PM 
123   March 13 11:52 PM  March 14 12:46 PM 
124   March 13 11:45 PM  March 14 12:52 PM 
125   March 13 11:44 PM  March 14 12:47 PM 
126   March 13 11:43 PM  March 14 12:54 PM 
127   March 13 11:41 PM  March 14 12:53 PM 
128   March 13 11:32 PM  March 14 12:50 PM 
129   March 13 11:31 PM  March 14 12:38 PM 
130   March 13 11:27 PM  March 14 12:42 PM 
131   March 13 11:27 PM  March 14 12:42 PM 
132   March 13 11:25 PM  March 14 12:35 PM 
133   March 13 11:21 PM  March 14 12:21 PM 
134   March 13 11:18 PM  March 14 12:29 PM 
135   March 13 11:08 PM  March 14 12:16 PM 
136   March 13 10:48 PM  March 14 12:01 PM 
137   March 13 10:35 PM  March 14 11:47 AM 
138   March 13 10:20 PM  March 14 11:45 AM 
139   March 13 09:48 PM  March 14 11:21 AM 
140   March 13 08:37 PM  March 14 10:10 AM 
141   March 13 07:35 PM  March 14 09:23 AM 
142   March 13 07:33 PM  March 14 09:10 AM 
143   March 13 07:32 PM  March 14 09:14 AM 
144   March 13 07:32 PM  March 14 09:10 AM 
145   March 13 07:31 PM  March 14 09:14 AM 
146   March 13 07:31 PM  March 14 09:13 AM 
147   March 13 07:30 PM  March 14 09:08 AM 
148   March 13 07:30 PM  March 14 09:02 AM 
149   March 13 07:29 PM  March 14 09:00 AM 
150   March 13 07:27 PM  March 14 10:37 AM 
151   March 13 07:24 PM  March 14 10:34 AM 
152   March 13 07:22 PM  March 14 10:28 AM 
153   March 13 07:22 PM  March 14 10:21 AM 
154   March 13 07:21 PM  March 14 10:30 AM 
155   March 13 07:17 PM  March 14 10:18 AM 
156   March 13 07:16 PM  March 14 10:18 AM 
157   March 13 07:14 PM  March 14 10:18 AM 
158   March 13 07:10 PM  March 14 10:18 AM 
159   March 13 07:09 PM  March 14 10:20 AM 
160   March 13 06:29 PM  March 14 09:41 AM 
161   March 13 06:17 PM  March 14 09:12 AM 
162   March 13 06:09 PM  March 14 09:09 AM 
163   March 13 04:46 PM  March 14 07:48 AM 
164   March 13 04:44 PM  March 14 07:49 AM 
165   March 13 04:34 PM  March 14 07:42 AM 
166   March 13 04:32 PM  March 14 07:28 AM 
167   March 13 04:31 PM  March 14 07:35 AM 
168   March 13 04:26 PM  March 14 07:30 AM 
169   March 13 04:25 PM  March 14 07:30 AM 
170   March 13 11:26 AM  March 14 02:34 AM 
171   March 13 10:36 AM  March 14 01:42 AM 
172   March 13 09:54 AM  March 14 01:01 AM 
173   March 13 09:47 AM  March 14 01:00 AM 
174   March 13 09:29 AM  March 14 12:33 AM 
175   March 13 09:12 AM  March 14 12:11 AM 
176   March 13 08:52 AM  March 13 11:54 PM 
177   March 13 08:46 AM  March 13 11:52 PM 
178   March 13 08:45 AM  March 13 11:52 PM 
179   March 13 08:41 AM  March 13 11:42 PM 
180   March 13 08:39 AM  March 13 11:44 PM 
181   March 13 08:38 AM  March 13 11:41 PM 
182   March 13 08:36 AM  March 13 11:44 PM 
183   March 13 08:25 AM  March 13 11:31 PM 
184   March 13 08:22 AM  March 13 11:26 PM 
185   March 13 08:20 AM  March 13 11:29 PM 
186   March 13 08:19 AM  March 13 11:21 PM 
187   March 13 08:18 AM  March 13 11:27 PM 
188   March 13 08:17 AM  March 13 11:18 PM 
189   March 13 08:16 AM  March 13 11:31 PM 
190   March 13 08:08 AM  March 13 11:24 PM 
191   March 13 08:04 AM  March 13 11:08 PM 
192   March 13 07:39 AM  March 13 10:47 PM 
193   March 13 07:33 AM  March 13 10:34 PM 
194   March 13 05:55 AM  March 13 08:50 PM 
195   March 13 05:37 AM  March 13 08:36 PM 
196   March 13 04:31 AM  March 13 07:35 PM 
197   March 13 04:25 AM  March 13 07:31 PM 
