Sample   Start  End 
0   September 04 06:37 PM  September 04 09:59 PM 
1   September 04 06:34 PM  September 04 09:58 PM 
2   September 04 03:03 AM  September 04 07:51 AM 
3   September 03 05:26 PM  September 03 10:16 PM 
4   September 03 12:01 PM  September 03 04:43 PM 
5   September 03 02:18 AM  September 03 07:07 AM 
6   September 02 06:36 PM  September 02 11:23 PM 
7   September 02 02:04 PM  September 02 06:46 PM 
8   September 02 07:35 AM  September 02 12:19 PM 
9   September 01 11:04 PM  September 02 03:52 AM 
10   September 04 06:32 PM  September 04 09:56 PM 
11   September 04 02:54 PM  September 04 07:38 PM 
12   September 04 08:46 AM  September 04 01:28 PM 
13   September 04 06:37 AM  September 04 11:18 AM 
14   September 04 06:30 AM  September 04 11:15 AM 
15   September 04 06:23 AM  September 04 11:10 AM 
16   September 04 06:17 AM  September 04 11:03 AM 
17   September 04 05:08 AM  September 04 09:51 AM 
18   September 04 03:19 AM  September 04 08:06 AM 
19   September 04 03:09 AM  September 04 07:56 AM 
20   September 04 03:02 AM  September 04 07:49 AM 
21   September 04 02:56 AM  September 04 07:42 AM 
22   September 04 02:46 AM  September 04 07:33 AM 
23   September 03 11:27 PM  September 04 04:08 AM 
24   September 03 10:57 PM  September 04 03:44 AM 
25   September 03 10:51 PM  September 04 03:38 AM 
26   September 03 10:43 PM  September 04 03:29 AM 
27   September 03 10:34 PM  September 04 03:22 AM 
28   September 03 07:56 PM  September 04 12:43 AM 
29   September 03 05:41 PM  September 03 10:30 PM 
30   September 03 05:26 PM  September 03 10:43 PM 
31   September 03 05:15 PM  September 03 10:34 PM 
32   September 03 05:10 PM  September 03 10:25 PM 
33   September 03 05:00 PM  September 03 10:14 PM 
34   September 03 03:45 PM  September 03 09:03 PM 
35   September 03 03:19 PM  September 03 08:34 PM 
36   September 03 02:57 PM  September 03 08:16 PM 
37   September 03 02:40 PM  September 03 07:56 PM 
38   September 03 02:19 PM  September 03 07:37 PM 
39   September 03 12:42 PM  September 03 05:56 PM 
40   September 03 11:58 AM  September 03 05:14 PM 
41   September 03 11:38 AM  September 03 04:54 PM 
42   September 03 10:45 AM  September 03 03:59 PM 
43   September 03 10:28 AM  September 03 03:46 PM 
44   September 03 09:21 AM  September 03 02:34 PM 
45   September 03 07:21 AM  September 03 12:37 PM 
46   September 03 07:14 AM  September 03 12:28 PM 
47   September 03 06:19 AM  September 03 11:36 AM 
48   September 03 05:44 AM  September 03 10:58 AM 
49   September 03 05:37 AM  September 03 10:52 AM 
50   September 03 02:15 AM  September 03 07:32 AM 
51   September 03 02:01 AM  September 03 07:14 AM 
52   September 03 01:32 AM  September 03 06:48 AM 
53   September 03 12:33 AM  September 03 05:49 AM 
54   September 03 12:25 AM  September 03 05:37 AM 
55   September 02 10:27 PM  September 03 03:45 AM 
56   September 02 08:22 PM  September 03 01:39 AM 
