#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
0        0.00409401       0.000389537
1        0.00231205       0.000705564
2        0.00690273       0.000538182
3        0.00263909       0.000370781
4        0.00215522       0.000247062
5        0.00632784       0.00249334
6        0.0149323       0.00578356
7        0.0121412       0.00569492
8        0.0316814       0.00858585
9        0.00258133       0.000800666
10        0.0107995       0.00513205
11        0.00226003       0.000169234
12        0.00135651       8.61969e-05
13        0.00161139       9.76585e-05
14        0.0199132       0.00559303
15        0.00223049       0.000277345
16        0.00266539       0.000348722
17        0.0229256       0.00529775
18        0.00349217       0.000702053
19        0.00389719       0.00101322
20        0.00121081       0.000125066
21        0.00260495       0.000122513
22        0.0220289       0.00418762
23        0.0158848       0.00425198
24        0.00431521       0.000464667
25        0.00593617       0.00306034
26        0.00100003       0.00017166
27        0.00199276       0.000644775
28        0.0020239       8.79271e-05
29        0.00336884       0.000309266
30        0.0141607       0.00834537
31        0.00307127       0.000101951
32        0.0070088       0.000395256
33        0.00308207       0.000212365
34        0.00838272       0.00043981
35        0.00361494       0.000712709
36        0.00237683       0.000321166
37        0.00144275       0.000126269
38        0.00574483       0.00121393
39        0.00568339       0.00142149
40        0.00316838       0.000901879
41        0.00400481       0.000209876
42        0.00182935       0.000509467
43        0.0335974       0.0209466
44        0.00378814       0.000219503
45        0.0127287       0.00338229
46        0.00152998       0.0001333
47        0.00137028       0.000162009
48        0.00195119       6.09794e-05
49        0.00392223       0.000567378
50        0.0037033       0.000561006
51        0.00378963       0.000331921
52        0.00461486       0.000672857
53        0.00432623       9.74e-05
54        0.00531673       0.00211836
55        0.0440898       0.00517179
56        0.00159663       0.000188252
57        0.0139814       0.00299108
58        0.00232707       0.000229535
59        0.00141692       3.67444e-05
60        0.00561669       0.00234431
61        0.00255867       0.000353315
62        0.00336264       0.000140135
63        0.00185942       9.49225e-05
64        0.023917       0.00249604
65        0.00348461       0.000101946
66        0.0239201       0.00277336
67        0.00845229       0.0015461
68        0.00161427       0.000292471
69        0.00228395       0.000166079
70        0.00258257       9.43757e-05
71        0.00765687       0.00126386
72        0.00363412       0.000444829
73        0.000691985       0.000181129
74        0.00521549       0.000365098
75        0.00421504       0.0017037
76        0.00438108       0.00030272
77        0.00236479       0.000735117
78        0.00296551       0.000780512
79        0.00734837       0.00228307
80        0.0522888       0.0113687
81        0.00247783       0.000534113
82        0.00496948       0.000797159
83        0.00443766       0.0005746
84        0.00219517       0.000359571
85        0.00268107       0.000221481
86        0.00277069       0.00018848
87        0.0211334       0.00113732
88        0.00573492       0.000435636
89        0.00118418       4.34612e-05
90        0.00533616       0.000732405
91        0.0023752       0.000326939
92        0.00279389       0.000196618
93        0.010708       0.0033135
94        0.0314705       0.00508593
95        0.00157604       0.000181632
96        0.00604528       0.000810645
97        0.00245925       0.00049422
98        0.0112084       0.00113291
99        0.00271161       0.000301624
100        0.00267429       0.000186823
101        0.00166101       0.000146764
102        0.00521412       0.000787419
103        0.011114       0.00237998
104        0.00225306       0.000117821
105        0.0014665       0.000221188
106        0.0144539       0.00353558
107        0.00245071       0.000100221
108        0.00249045       0.000255749
109        0.0029586       0.000230508
110        0.00317541       0.000192164
111        0.00787       0.00145326
112        0.00246671       0.00032596
113        0.0177962       0.00186677
114        0.00378323       0.00049864
115        0.00247959       0.000215508
