#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
0        0.000455057       0.000226177
1        0.000221408       2.29979e-05
2        0.00041328       9.48013e-06
3        0.000251852       2.89276e-05
4        0.00046695       1.50531e-05
5        0.000407867       7.52776e-06
6        0.000238112       8.97629e-06
7        0.000516008       8.69896e-05
8        0.000331403       8.73807e-06
9        0.000333017       1.10967e-05
10        0.000170179       3.55191e-05
11        0.00043561       7.98344e-06
12        0.00028561       4.9073e-05
13        0.00062848       8.10995e-05
14        0.00020325       3.38227e-05
15        0.000396726       8.14489e-06
16        0.000178991       7.77086e-06
17        0.000395307       6.82293e-06
18        0.000649108       7.77197e-05
19        0.000290458       6.93063e-06
20        0.000804682       4.15909e-05
21        0.000444033       1.57863e-05
22        0.000605982       7.87719e-05
23        0.000226564       1.23099e-05
24        0.000741775       4.35088e-05
25        0.000831977       0.000126653
26        0.000553044       2.29484e-05
27        0.00141336       0.000116732
28        0.000393506       0.000116956
29        0.00143128       5.40806e-05
30        0.000263022       1.62769e-05
31        0.00237622       0.000118921
32        0.000416777       6.40912e-05
33        0.000736807       0.000224574
34        0.00072309       9.46817e-05
35        0.0010919       0.00012393
36        0.000613166       4.99507e-05
37        0.00357033       0.000324693
38        0.00133577       5.89646e-05
39        0.00124165       0.000112801
40        0.00161017       0.000207503
41        0.000512174       1.90034e-05
42        0.00181259       0.000207092
43        0.00123434       9.18344e-05
44        0.00148163       8.62547e-05
45        0.00179743       0.000350329
46        0.00161316       0.000147362
47        0.00160913       8.63292e-05
48        0.00138499       0.000103404
49        0.00221642       0.000132406
50        0.00134108       0.000222018
51        0.000455264       6.91997e-05
52        0.00139731       4.81528e-05
53        0.00121897       5.7136e-05
54        0.000431584       3.47606e-05
55        0.000854367       0.00019079
56        0.00146371       5.69184e-05
57        0.00156637       0.000206238
58        0.0028658       0.000339327
59        0.00174505       0.000458073
60        0.00240481       0.000312356
61        0.000235003       4.31433e-05
62        0.000534518       5.40846e-05
63        0.00084676       0.000417026
64        9.81935e-05       1.8518e-05
65        2.8063e-05       5.529e-06
66        6.44883e-05       1.0949e-05
67        0.000265599       3.4647e-05
68        0.00280885       0.000308775
69        0.000145458       4.70497e-05
70        4.93735e-05       2.63532e-05
71        0.000124061       0.000109674
72        0.000383659       2.18692e-05
73        0.000698201       0.00030218
74        0.000268       7.81508e-05
75        8.62779e-06       2.9324e-06
76        0.00015069       6.04607e-05
77        4.05245e-05       6.41732e-06
78        0.000506589       0.000360419
79        0.00018384       2.09383e-05
80        0.00555925       0.000144395
81        0.000268565       0.000137851
82        0.000128899       9.76295e-05
83        2.53722e-05       2.14405e-05
84        9.81749e-06       3.73918e-06
85        4.67798e-05       5.58795e-06
86        2.56979e-05       3.41112e-05
87        0.000106874       8.3905e-05
88        0.000201791       4.80618e-05
89        8.49578e-05       6.22078e-05
90        0.000145754       3.32226e-05
91        0.000362042       9.43018e-06
92        0.000236197       1.14187e-05
93        0.00287431       0.000153043
94        0.000607199       1.83895e-05
95        0.000636733       6.28836e-05
96        0.00330371       3.29083e-05
97        0.00596743       0.000611972
98        0.00839932       0.00204336
99        0.00566597       0.000676247
100        0.000360901       1.31721e-05
101        0.0054803       0.00164617
102        0.000516097       2.85969e-05
103        0.000357355       2.34526e-05
104        0.000383375       6.06373e-05
105        0.00331839       0.000117455
106        0.00535455       0.000585435
107        0.00612917       0.00108209
108        0.000406429       0.000198729
109        0.000153405       1.04329e-05
110        0.00533071       0.00145912
111        0.000548923       2.72301e-05
112        0.00562271       0.0006925
113        0.000523556       3.27765e-05
114        0.000309466       1.21723e-05
115        0.000698871       0.0002369
116        0.000351734       1.51237e-05
117        0.000284617       3.83004e-05
118        0.00763139       0.00118194
119        0.000572499       4.84972e-05
120        0.000664499       9.2761e-05
121        0.000803441       8.5163e-05
122        0.000320439       3.19351e-05
123        0.000666546       9.30046e-05
124        6.82208e-05       0.000105044
125        0.000183483       1.04995e-05
126        0.000633771       0.000959371
127        0.000393535       0.000228806
128        0.000284213       1.79458e-05
129        0.000318266       0.000187106
130        0.000243889       2.82429e-05
131        0.00037268       1.26174e-05
132        0.000359618       1.83039e-05
133        0.00019317       0.000156124
134        0.000348221       1.74844e-05
135        0.000338035       1.25594e-05
136        0.000185323       6.70519e-06
137        0.00034815       2.12294e-05
138        0.000346799       1.26683e-05
139        3.60844e-05       2.54285e-05
140        0.000297322       2.07071e-05
141        0.000725154       9.33804e-05
142        0.000342103       2.20733e-05
143        0.00142232       0.000292424
144        0.000364693       3.18699e-05
145        0.000245665       1.98409e-05
