#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
0        0.000172468       8.64382e-06
1        0.000142479       5.43764e-06
2        0.000133454       1.99348e-05
3        0.000183192       9.38906e-06
4        0.000136181       5.87826e-06
5        0.000143214       5.02154e-06
6        0.000169305       4.44029e-06
7        0.000131915       3.6086e-06
8        0.000155311       7.87004e-06
9        0.000118       5.33679e-06
10        0.000168634       5.00021e-06
11        0.000159543       1.504e-06
12        0.00017317       1.20446e-05
13        0.00016804       1.24332e-05
14        0.000153559       7.69594e-06
15        0.000162075       7.3404e-06
16        0.000121404       6.02855e-06
17        0.000182208       2.93289e-05
18        0.000166534       9.61968e-06
19        0.000138003       1.47987e-05
20        0.000172165       8.49508e-06
21        0.000149313       1.99264e-05
22        0.000155313       3.27154e-06
23        0.000172132       4.74905e-06
24        0.00012859       5.59555e-06
25        0.000160653       4.97758e-06
26        0.000126966       8.96103e-06
27        0.000123353       2.74454e-06
28        0.00013607       2.21926e-06
29        0.000168986       1.34246e-05
30        0.000198327       5.91019e-06
31        0.000253343       8.71576e-06
32        0.000211449       3.90538e-06
33        0.00024955       1.00456e-05
34        0.000210714       2.0846e-06
35        0.000173088       1.32285e-05
36        0.000142017       4.68452e-06
37        0.00017391       1.95215e-06
38        0.000214562       1.27353e-05
39        0.000179154       1.56504e-05
40        0.000209277       1.60995e-05
41        0.000264626       1.14096e-05
42        0.0001839       7.42649e-06
43        0.000218199       1.3968e-05
44        0.00015955       1.21677e-05
45        0.000168657       1.47322e-05
46        0.000173103       1.06177e-05
47        0.000132434       2.75007e-06
48        0.000147089       1.91911e-05
49        0.000183297       5.40875e-06
50        0.0002608       1.39996e-05
51        0.000187033       3.70854e-06
52        0.000256039       1.85681e-05
53        0.00019692       7.12296e-06
54        0.000227124       4.4321e-06
55        0.000160136       4.52956e-06
56        0.000166882       1.78027e-05
57        0.000193362       1.75669e-05
58        0.000193627       1.99046e-05
59        0.000204208       6.51133e-06
60        0.000233602       1.30066e-05
61        0.000304762       1.28184e-05
62        0.000199918       1.12088e-05
63        0.000260724       9.09415e-06
64        0.000220319       8.32135e-06
65        0.000184459       1.09169e-05
66        0.000332357       7.90522e-06
67        0.000242325       1.02281e-05
68        0.000297926       2.23066e-05
69        0.000248033       1.18016e-05
70        0.000296873       9.74546e-06
71        0.000193741       5.67664e-06
72        0.000405623       1.6206e-05
73        0.000226649       8.36371e-06
74        0.000226859       1.31952e-05
75        0.000209305       7.7883e-06
76        0.0002071       6.95305e-06
77        0.000252377       1.62776e-05
78        0.000321076       1.26665e-05
79        0.000276428       7.98313e-06
80        0.000228674       3.92033e-06
81        0.000243047       6.0338e-06
82        0.00022268       3.09682e-06
83        0.000224909       9.4911e-06
84        0.000272713       4.49381e-06
85        0.000167661       3.79039e-06
86        0.000187199       8.60718e-06
87        0.000228267       5.36944e-06
88        0.000202835       2.21779e-05
89        0.000220172       1.37446e-05
90        4.00959e-05       4.20021e-07
91        3.49595e-05       7.2548e-07
92        3.6534e-05       2.87556e-07
93        3.26477e-05       2.70909e-07
94        3.88991e-05       6.12273e-07
95        3.96297e-05       7.73732e-07
96        3.57484e-05       5.70221e-07
97        3.64739e-05       5.1561e-07
98        3.70841e-05       3.0154e-07
99        3.32246e-05       5.94394e-07
100        3.85686e-05       8.43451e-07
101        3.12803e-05       6.2762e-07
102        3.53008e-05       1.07818e-06
103        3.43502e-05       6.48013e-07
104        3.68058e-05       2.61657e-07
105        3.96016e-05       8.62046e-07
106        3.52077e-05       1.85489e-07
107        3.64547e-05       6.40008e-07
108        3.9754e-05       4.96479e-07
109        3.26334e-05       3.52689e-07
110        3.27383e-05       5.40794e-07
111        3.32758e-05       2.6066e-07
112        3.86406e-05       7.42964e-07
113        4.02571e-05       3.15034e-07
114        3.61925e-05       4.65508e-07
115        3.73764e-05       3.81891e-07
116        3.54573e-05       4.36076e-07
117        3.43064e-05       8.87518e-07
118        3.2825e-05       2.31489e-07
119        3.42727e-05       6.3776e-07
120        4.98239e-05       1.25104e-06
121        4.30734e-05       1.51903e-06
122        4.95505e-05       1.11144e-06
123        5.78618e-05       3.22657e-06
124        4.91908e-05       8.44015e-07
125        4.15653e-05       1.57079e-06
126        5.03289e-05       1.39494e-06
127        5.00353e-05       8.372e-07
128        4.89805e-05       1.01639e-06
129        4.38459e-05       2.64486e-06
130        4.60694e-05       3.70583e-07
131        4.48254e-05       1.35757e-06
132        4.76381e-05       1.09415e-06
133        4.62809e-05       1.07392e-06
134        4.46082e-05       9.80051e-07
135        5.47592e-05       1.41782e-06
136        4.76488e-05       1.36674e-06
137        5.51045e-05       1.28508e-06
138        4.47871e-05       9.12566e-07
139        4.46555e-05       6.16611e-07
140        5.05968e-05       4.46153e-06
141        5.0671e-05       1.02984e-06
142        4.22311e-05       1.41876e-06
143        3.91763e-05       1.67981e-06
144        5.12375e-05       1.18092e-06
145        4.56944e-05       5.78566e-07
146        5.1095e-05       2.85222e-06
147        4.71708e-05       3.30575e-06
148        4.68375e-05       1.0362e-06
149        4.55847e-05       1.84691e-06
150        5.89977e-05       2.19917e-06
151        7.17243e-05       1.18637e-06
152        6.32948e-05       3.03236e-06
153        7.05822e-05       1.35464e-06
154        4.60304e-05       8.27352e-07
155        6.50449e-05       3.17037e-06
156        7.2414e-05       3.3558e-06
157        5.45093e-05       3.10284e-06
158        6.13978e-05       3.75475e-06
159        6.22386e-05       3.97222e-06
160        6.20609e-05       2.80093e-06
161        6.33649e-05       4.4555e-06
162        5.24474e-05       2.72224e-06
163        6.37433e-05       4.33524e-06
164        6.55549e-05       7.83231e-07
165        6.22027e-05       1.46795e-06
166        6.30753e-05       4.33828e-06
167        6.15352e-05       4.91875e-06
168        6.21907e-05       2.22172e-06
169        6.36765e-05       4.07e-06
170        5.92034e-05       3.6474e-06
171        6.31484e-05       2.94014e-06
172        5.32534e-05       3.99086e-06
173        4.4113e-05       8.95754e-07
